company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
walgreens,2021,132509000,104442000,24586000,2342000,2512000,8159000,15814000,81285000,22054000,23419000,81285000
walgreens,2022,132703000,104437000,27295000,1387000,4065000,8353000,16902000,90124000,22583000,25275000,90124000
walgreens,2023,139081000,112009000,34205000,-6882000,-3528000,8257000,15503000,96628000,24535000,20020000,96628000
walgreens,2024,147658000,121134000,28113000,-14076000,-15448000,8320000,18335000,81037000,26953000,10445000,81037000
walmart,2019,510329000,385301000,107147000,21957000,6670000,44269000,61897000,219295000,77477000,79634000,219295000
walmart,2020,523964000,394605000,108791000,20568000,15201000,44435000,61806000,236495000,77790000,74669000,236495000
walmart,2021,559151000,420315000,116288000,22548000,13510000,44949000,90067000,252496000,92645000,80925000,252496000
walmart,2022,572754000,429000000,117812000,25942000,13673000,56511000,81070000,244860000,87379000,83253000,244860000
walmart,2023,611289000,463721000,127140000,20428000,11680000,56576000,75655000,243197000,92198000,76693000,243197000
walmart,2024,648125000,490142000,130971000,27012000,15511000,54892000,76877000,252399000,92415000,83861000,252399000
wayfair,2019,6779174,5192451,1025767,-473279,-504080,46164,1255936,1890850,1139223,-330721,1890850
wayfair,2020,9127057,6979725,1624706,-929941,-984584,61692,1377138,2953048,1611519,-944208,2953048
wayfair,2021,14145156,10032985,1830090,360349,184996,52152,3045802,4569929,2165594,-1191897,4569929
wayfair,2022,13708000,9813000,3989000,-94000,-131000,69000,3012000,4570000,2217000,-1619000,4570000
wayfair,2023,12218000,8802000,4800000,-1384000,-1331000,90000,1933000,3580000,2072000,-2550000,3580000
wayfair,2024,12003000,8336000,4480000,-813000,-738000,75000,1855000,3474000,2183000,-2707000,3474000
william_sonoma,2019,5671593,3570580,1665060,435953,333684,1124992,1694343,2812844,1074812,1155714,2812844
william_sonoma,2020,5898008,3758916,1673218,465874,356062,1100544,1755635,4054042,1609555,1235860,4054042
william_sonoma,2021,6783189,4146920,1725572,910697,680714,1006299,2467080,4661424,1848000,1651185,4661424
william_sonoma,2022,8245936,4613973,2178847,1453116,1126337,1246372,2323894,4625620,1771686,1664207,4625620
william_sonoma,2023,8674417,4996684,2179311,1498422,1127904,1456123,2036080,4663016,1636451,1701051,4663016
william_sonoma,2024,7750652,4447051,2059408,1244193,949762,1246369,2719797,5273548,1880315,2127861,5273548
yeti,2019,778833,395705,280972,102156,57763,145423,297013,514213,187338,28971,514213
yeti,2020,913734,438420,385543,89771,50434,185700,360547,629539,170312,122005,629539
