company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
American Eagle,2022,2022-01-31,5010785.0,3018995.0,1222000.0,603009.0,419629.0,553458.0,1396924.0,3786643.0,842871.0,1423672.0,2362971.0
American Eagle,2021,2021-01-31,3759113.0,2610966.0,977264.0,8481.0,-209274.0,405445.0,1522643.0,3434806.0,858482.0,1086665.0,2348141.0
Urban Outfitters,2024,2024-01-31,5153237.0,3437833.0,1339205.0,376199.0,287674.0,550242.0,1282503.0,4111209.0,994205.0,2112540.0,1998669.0
Urban Outfitters,2023,2023-01-31,4795244.0,3368028.0,1200593.0,226623.0,159699.0,587510.0,1237719.0,3682912.0,890374.0,1792683.0,1890229.0
Urban Outfitters,2022,2022-01-31,4548763.0,3054813.0,1085384.0,408566.0,310616.0,569699.0,1285747.0,3791347.0,981473.0,1745740.0,2045607.0
Urban Outfitters,2021,2021-01-31,3449749.0,2587843.0,857934.0,3972.0,1236.0,389618.0,1223332.0,3546345.0,906132.0,1477358.0,2068987.0
Levi Strauss,2024,2023-11-30,6179000.0,2663300.0,3070900.0,444800.0,249600.0,1290100.0,2637600.0,6053600.0,1787500.0,2046400.0,4007200.0
Levi Strauss,2023,2022-11-30,6168600.0,2619800.0,2881600.0,667200.0,569100.0,1416800.0,2827900.0,6037800.0,1981600.0,1903700.0,4134100.0
Levi Strauss,2022,2021-11-30,5763936.0,2417225.0,2646800.0,699911.0,553541.0,898000.0,2709900.0,5900100.0,1869600.0,1665700.0,4234400.0
Levi Strauss,2021,2020-11-30,4452609.0,2099685.0,2272037.0,80887.0,-127141.0,817692.0,3126241.0,5641241.0,1548882.0,1299475.0,4341766.0
Dick's Sporting Goods,2024,2024-01-31,12984399.0,8450664.0,3204108.0,1282365.0,1046519.0,2848797.0,4890049.0,9311752.0,2752394.0,2617281.0,6694471.0
Dick's Sporting Goods,2023,2023-01-31,12368198.0,8083640.0,2805462.0,1463019.0,1043138.0,2830917.0,4963186.0,8992196.0,2641446.0,2524623.0,6467573.0
Dick's Sporting Goods,2022,2022-01-31,12293368.0,7581482.0,2664083.0,2034503.0,1519871.0,2297609.0,5106656.0,9041676.0,2712680.0,2101586.0,6940090.0
